review_id,tanggal,username,review,clean_text,nama_produk,variasi_produk,link_gambar,file_gambar,rating,sentiment,sentiment_numeric
AG000443,2025-03-08,P***f,"Alhamdulillah,,baju nya bagus adem,, makasih abang kurir🙏🏻",alhamdulillahbaju nya bagus adem makasih abang kurir,Kaos Oversize Lengan 7/8 Wanita T-shirt Wanita Lengan 3/4 Slit Atasan Rayon Belah Samping Basic Baju Panjang Top Polos Oval murah,Varian: Ijo Botol - XXL ( 120-140Cm ),"https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/5a69f4902a1945e78c13898e267b3529.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/e62f0738be414dd4a3eda4702dc4a16c.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/53a9fe1196534b25b2f1323893e022e8.webp?ect=4g",AG000443.jpg,5,Positive,1.0
S000081,2024-04-01,Filip,"bagus sesuai gambar, bahannya ok, warna dan ukuran sesuai dgn yg dipesan",bagus sesuai gambar bahan warna ukur sesuai dgn pes,"Jaket Semi Parka, Kemeja Semi Parka, Canvas Trucker",Varian: Black - M,Tidak ada gambar,S000081.jpg,4,Positive,1.0
A000003,2025-03-12,G***w,Suka bgt. Thankyou seller 🫰🏻,suka bgt thankyou seller,KAOS POLOS WANITA COTTON COMBED 30S BAJU KAOS POLOS CEWEK SIZE XS - XL,Varian: XL,Tidak ada gambar,A000003.jpg,5,Positive,1.0
AT000082,2025-02-01,u***0,Kak barang nya pesan 4 yg datang cuma 3 yg manah dong ka,kak barang nya pesan manah,Faradina Exclusive Listya Dress Gamis Motif Premium Aksen List Busui Friendly Diamond Muslim,Varian: BD Hitam,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/c4a2eeccde1042ad8a6d3bb5ac497228~.webp?ect=4g,AT000082.jpg,1,Negative,0.0
AX000097,2024-04-01,S***y,Dara kurang suka,dara suka,"Paket 3 pcs kaos distro anak branded laki laki dan perempuan usia 3,5-12 tahun Combed 30s Bunda",Varian: 3pcs motif N - XXL,Tidak ada gambar,AX000097.jpg,2,Negative,0.0
K000081,2024-08-01,Nisa,Ukurannya terlalu besar Tinggi badan 150 - 160 cm  Ukurannya pas,ukur badan ukur pas,KEMEJA WANITA POLOS LENGAN PANJANG RAYON LONG SHIRT ORGANIK HITAM,Varian: Kemeja Coral - XL,"https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/8/4/146eb6d0-a1bf-477b-b122-cb7d362cfc4f.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/8/4/2be5c396-87c7-47cc-8756-31b0a91d2cda.jpg.webp?ect=4g, https://images.tokopedia.net/img/cache/200-square/bjFkPX/2024/8/4/a0870ece-45ce-4d36-a2f8-e4edbe40d7d9.jpg.webp?ect=4g",K000081.jpg,5,Positive,1.0
H000029,2025-01-01,E***A,Pesen atasan 1 dress 1 yg dikirim atasan semuanya padahal udh nunggu lama,sen atas dress kirim atas udh nunggu,Cessie Blouse Wanita Airflow Atasan Crinkle Baju Big Size,Varian: Choco - Size Normal,Tidak ada gambar,H000029.jpg,1,Negative,0.0
AE000187,2024-06-01,Made,Ukurannya pas Tinggi badan 171 - 180 cm Berat badan 71 - 80 kg,ukur pas badan berat badan,Aerostreet Chinos Panjang Elvano Khaki Celana Chino EAAAA,Varian: 34,Tidak ada gambar,AE000187.jpg,5,Positive,1.0
P000284,2024-08-01,Jonathan,"bahan tipis, jahitannya berantakan, ngga sesuai ekspetasi",bahan tipis jahit beranta ngga sesuai ekspetasi,HAIBRO Kemeja Cove Series Sage Green Polos,Varian: Navy - M,Tidak ada gambar,P000284.jpg,1,Negative,0.0
I000006,2025-03-08,Angga,"dari 5 toko yg saya beli baju polos nya, toko ini yg paling mahal, bahan nya paling murah, dan potongan baju nya paling jelek. skip. thank you",toko beli baju polos nya toko mahal bahan nya murah potong baju nya jelek skip thank you,Kaos Polos New States Apparel 7200 Premium Cotton T-shirt,Varian: Black - XL,https://assets.tokopedia.net/assets-tokopedia-lite/v2/zeus/kratos/85cc883d.svg,I000006.jpg,2,Negative,0.0
